,CNTY_NM,X (Lat),Y (Long),CNTY_NBR,FIPS,time,temp,coco,WIND_recu_mw,NG_recu_mw,COAL_recu_mw,SOLAR_recu_mw,ESR_recu_mw,HYDRO_recu_mw,NUCLEAR_recu_mw
46,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-11 22:00:00,2.0,,293,0,0,0,0,0,0
47,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-11 23:00:00,2.0,,293,0,0,0,0,0,0
48,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-12 00:00:00,2.0,,293,0,0,0,0,0,0
49,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-12 01:00:00,2.0,,293,0,0,0,0,0,0
50,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-12 02:00:00,2.0,,293,0,0,0,0,0,0
51,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-12 03:00:00,2.0,,313,0,0,0,0,0,0
52,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-12 04:00:00,3.0,,313,0,0,0,0,0,0
53,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-12 05:00:00,3.0,,313,0,0,0,0,0,0
54,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-12 06:00:00,3.0,,313,0,0,0,0,0,0
55,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-12 07:00:00,2.0,,313,0,0,0,0,0,0
56,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-12 08:00:00,2.0,,313,0,0,0,0,0,0
57,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-12 09:00:00,2.0,,313,0,0,0,0,0,0
58,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-12 10:00:00,1.0,,313,0,0,0,0,0,0
59,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-12 11:00:00,2.0,,313,0,0,0,0,0,0
60,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-12 12:00:00,1.0,,313,0,0,0,0,0,0
61,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-12 13:00:00,1.0,,313,0,0,0,0,0,0
62,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-12 14:00:00,0.0,,313,0,0,0,0,0,0
63,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-12 15:00:00,1.0,,313,0,0,0,0,0,0
64,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-12 16:00:00,1.0,,313,0,0,0,0,0,0
